Name,Sport,Event,NOC,Year,Medal,Division
John Markovski,Football,Football Men's Football,AUS,1992,No medal,19
John Mcnally,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",USA,1992,No medal,1
John Millen,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,CAN,1992,No medal,1
John Moore,Rowing,Rowing Men's Coxed Pairs,USA,1992,No medal,1
John Muoz,Football,Football Men's Football,COL,1992,No medal,19
John Mwathiwa,Athletics,"Athletics Men's 10,000 metres",MAW,1992,No medal,1
John Myles-mills,Athletics,Athletics Men's 100 metres,GHA,1992,No medal,1
John Myles-mills,Athletics,Athletics Men's 4 x 100 metres Relay,GHA,1992,No medal,4
John Palacio,Athletics,Athletics Men's 4 x 100 metres Relay,BIZ,1992,No medal,4
John Palacio,Athletics,Athletics Men's 800 metres,BIZ,1992,No medal,1
John Parker,Rowing,Rowing Men's Coxed Eights,USA,1992,No medal,9
John Pescatore,Rowing,Rowing Men's Coxless Pairs,USA,1992,No medal,2
John Pettersson J.,Boxing,Boxing Men's Heavyweight,SWE,1992,No medal,1
John Plumb,Equestrian,"Equestrian Mixed Three-Day Event, Individual",USA,1992,No medal,3
John Plumb,Equestrian,"Equestrian Mixed Three-Day Event, Team",USA,1992,No medal,3
John Prado,Football,Football Men's Football,COL,1992,No medal,19
John Primrose,Shooting,Shooting Mixed Trap,CAN,1992,No medal,1
John Radovonich,Hockey,Hockey Men's Hockey,NZL,1992,No medal,16
John Regis,Athletics,Athletics Men's 200 metres,GBR,1992,No medal,1
John Regis,Athletics,Athletics Men's 4 x 100 metres Relay,GBR,1992,No medal,5
John Regis,Athletics,Athletics Men's 4 x 400 metres Relay,GBR,1992,Bronze,6
John Roethlisberger,Gymnastics,Gymnastics Men's Floor Exercise,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Horizontal Bar,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Horse Vault,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Individual All-Around,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Parallel Bars,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Pommelled Horse,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Rings,USA,1992,No medal,1
John Roethlisberger,Gymnastics,Gymnastics Men's Team All-Around,USA,1992,No medal,6
John Scherrenburg,Water Polo,Water Polo Men's Water Polo,NED,1992,No medal,13
John Sem,Boxing,Boxing Men's Bantamweight,PNG,1992,No medal,1
John Shaw,Hockey,Hockey Men's Hockey,GBR,1992,No medal,15
John Shirley,Sailing,Sailing Mixed Three Person Keelboat,IVB,1992,No medal,3
John Smith,Wrestling,"Wrestling Men's Featherweight, Freestyle",USA,1992,Gold,1
John Sr.,Sailing,Sailing Mixed Two Person Keelboat,ISV,1992,No medal,1
John Steel,Swimming,Swimming Men's 100 metres Freestyle,NZL,1992,No medal,1
John Steel,Swimming,Swimming Men's 200 metres Freestyle,NZL,1992,No medal,1
John Steel,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NZL,1992,No medal,4
John Steel,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NZL,1992,No medal,4
John Stenner,Cycling,Cycling Men's 100 kilometres Team Time Trial,USA,1992,No medal,4
John Stockton,Basketball,Basketball Men's Basketball,USA,1992,Gold,12
John Summers,Shooting,Shooting Mixed Skeet,AUS,1992,No medal,1
John Tillman,Athletics,Athletics Men's Triple Jump,USA,1992,No medal,1
John Trautmann,Athletics,"Athletics Men's 5,000 metres",USA,1992,No medal,1
John Treacy,Athletics,Athletics Men's Marathon,IRL,1992,No medal,1
John Vargas,Water Polo,Water Polo Men's Water Polo,USA,1992,No medal,13
John Wallace,Rowing,Rowing Men's Coxed Eights,CAN,1992,Gold,9
John Whitaker,Equestrian,"Equestrian Mixed Jumping, Individual",GBR,1992,No medal,1
John Whitaker,Equestrian,"Equestrian Mixed Jumping, Team",GBR,1992,No medal,4
Jol Bouzou,Modern Pentathlon,Modern Pentathlon Men's Individual,FRA,1992,No medal,1
Jol Bouzou,Modern Pentathlon,Modern Pentathlon Men's Team,FRA,1992,No medal,3
Jol Charles,Volleyball,Volleyball Men's Volleyball,CUB,1992,No medal,12
Jol Johnson,Boxing,Boxing Men's Bantamweight,CUB,1992,Gold,1
Jol Luaces,Athletics,Athletics Men's 4 x 100 metres Relay,CUB,1992,Bronze,4
Jolto Bonfim,Athletics,Athletics Men's 110 metres Hurdles,BRA,1992,No medal,1
Jon Andrews,Cycling,"Cycling Men's 1,000 metres Time Trial",NZL,1992,No medal,1
Jon Andrews,Cycling,Cycling Men's Sprint,NZL,1992,No medal,1
Jon Bilger,Sailing,Sailing Men's Two Person Dinghy,NZL,1992,No medal,1
Jon Holst-christensen,Badminton,Badminton Men's Doubles,DEN,1992,No medal,2
Jon Lugbill,Canoeing,"Canoeing Men's Canadian Singles, Slalom",USA,1992,No medal,1
Jon Normile,Fencing,"Fencing Men's epee, Individual",USA,1992,No medal,1
Jon Olsen,Swimming,Swimming Men's 100 metres Freestyle,USA,1992,No medal,1
Jon Olsen,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,USA,1992,Gold,6
Jon Olsen,Swimming,Swimming Men's 4 x 100 metres Medley Relay,USA,1992,Gold,8
Jon Olsen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,USA,1992,Bronze,6
Jon Rnningen,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",NOR,1992,Gold,1
Jonah Birir,Athletics,"Athletics Men's 1,500 metres",KEN,1992,No medal,1
Jonas (-gillman),Swimming,Swimming Men's 100 metres Freestyle,SWE,1992,No medal,1
Jonas (-gillman),Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,SWE,1992,No medal,5
Jonas Axeldahl,Football,Football Men's Football,SWE,1992,No medal,16
Jonas Fager,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",SWE,1992,No medal,4
Jonathan Cleveland,Swimming,Swimming Men's 100 metres Breaststroke,CAN,1992,No medal,1
Jonathan Cleveland,Swimming,Swimming Men's 200 metres Breaststroke,CAN,1992,No medal,1
Jonathan Cleveland,Swimming,Swimming Men's 4 x 100 metres Medley Relay,CAN,1992,Bronze,5
Jonathan Davis,Fencing,"Fencing Men's Foil, Individual",GBR,1992,No medal,1
Jonathan Davis,Fencing,"Fencing Men's Foil, Team",GBR,1992,No medal,4
Jonathan Edwards,Athletics,Athletics Men's Triple Jump,GBR,1992,No medal,1
Jonathan Garca,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",ESP,1992,No medal,4
Jonathan Potter,Hockey,Hockey Men's Hockey,GBR,1992,No medal,15
Jonathan Searle,Rowing,Rowing Men's Coxed Pairs,GBR,1992,Gold,1
Jonathan Sieben,Swimming,Swimming Men's 100 metres Butterfly,AUS,1992,No medal,1
Jonathan Sieben,Swimming,Swimming Men's 4 x 100 metres Medley Relay,AUS,1992,No medal,4
Jonathan Singfield,Rowing,Rowing Men's Coxed Eights,GBR,1992,No medal,9
Jonathan Smith,Rowing,Rowing Men's Double Sculls,USA,1992,No medal,2
Jong Yeu-jeng,Baseball,Baseball Men's Baseball,TPE,1992,Silver,1
Jonny Rdlund,Football,Football Men's Football,SWE,1992,No medal,16
Joo Capindica,Athletics,Athletics Men's 400 metres,ANG,1992,No medal,1
Joo Junqueira,Athletics,"Athletics Men's 3,000 metres Steeplechase",POR,1992,No medal,1
Joo N'tyamba,Athletics,"Athletics Men's 1,500 metres",ANG,1992,No medal,1
Joo N'tyamba,Athletics,Athletics Men's 800 metres,ANG,1992,No medal,1
Joo Neto,Sailing,Sailing Men's One Person Dinghy,ANG,1992,No medal,1
Joo Rebelo,Shooting,Shooting Mixed Trap,POR,1992,No medal,1
Joo Rodrigues,Sailing,Sailing Men's Windsurfer,POR,1992,No medal,1
Joo Santos,Rowing,Rowing Men's Double Sculls,POR,1992,No medal,2
Joo Souza,Judo,Judo Men's Half-Middleweight,ANG,1992,No medal,1
Jordi Amors,Basketball,Basketball Men's Basketball,ESP,1992,No medal,12
Jordi Casta,Tennis,Tennis Men's Singles,ESP,1992,Silver,1
Jordi Estelrich,Sailing,Sailing Men's Two Person Dinghy,ESP,1992,Gold,1
Jordi Fontan,Rowing,Rowing Men's Coxed Eights,ESP,1992,No medal,9
Jordi Juan,Water Polo,Water Polo Men's Water Polo,ESP,1992,Silver,12
Jorge Berriel,Baseball,Baseball Men's Baseball,CUB,1992,Gold,1
Jorge Brito,Volleyball,Volleyball Men's Volleyball,BRA,1992,Gold,12
Jorge Centena,Boxing,Boxing Men's Light-Middleweight,URU,1992,No medal,1
Jorge Corts,Hockey,Hockey Men's Hockey,ESP,1992,No medal,16
Jorge Guerra,Basketball,Basketball Men's Basketball,BRA,1992,No medal,12
Jorge Gutierrez,Water Polo,Water Polo Men's Water Polo,CUB,1992,No medal,13
Jorge Hay,Shooting,Shooting Mixed Skeet,ESP,1992,No medal,1
Jorge Leal,Shooting,"Shooting Men's Running Target, 10 metres",CUB,1992,No medal,1
Jorge Maradiaga,Athletics,Athletics Men's Decathlon,HON,1992,No medal,1
Jorge Matias,Equestrian,"Equestrian Mixed Jumping, Individual",POR,1992,No medal,1
Jorge Morales,Football,Football Men's Football,COL,1992,No medal,19
Jorge Reyes,Football,Football Men's Football,MEX,1992,No medal,16
Jorge Rivera,Athletics,Athletics Men's Marathon,PUR,1992,No medal,1
Jorge Rodrguez,Shooting,"Shooting Men's Air Rifle, 10 metres",ESP,1992,No medal,1
Jorge Rodrguez,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",ESP,1992,No medal,1
Jorge Rodrguez,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",ESP,1992,No medal,2
Jorge Ruiz,Athletics,Athletics Men's 4 x 100 metres Relay,CUB,1992,Bronze,4
Jorge Salinas,Swimming,Swimming Men's 200 metres Backstroke,ESP,1992,No medal,1
Jorge Salinas,Swimming,Swimming Men's 200 metres Butterfly,ESP,1992,No medal,1
Jorge Salinas,Swimming,Swimming Men's 400 metres Individual Medley,ESP,1992,No medal,1
Jorge Silva,Athletics,Athletics Men's Triple Jump,BRA,1992,No medal,1
Jorge Sosa,Judo,Judo Men's Half-Lightweight,URU,1992,No medal,1
Jorge Soto,Swimming,"Swimming Men's 1,500 metres Freestyle",PUR,1992,No medal,1
Jorge Soto,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,PUR,1992,No medal,4
Jorge Soto,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,PUR,1992,No medal,4
Jorge Soto,Swimming,Swimming Men's 400 metres Freestyle,PUR,1992,No medal,1
Jorge Torres,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Jorge Tripailaf,Boxing,Boxing Men's Featherweight,ARG,1992,No medal,1
Jorge Velsquez,Football,Football Men's Football,PAR,1992,No medal,17
Jorge Vzquez,Diving,Diving Men's Springboard,MEX,1992,No medal,1
Jorge Wardi,Judo,Judo Men's Half-Heavyweight,ARG,1992,No medal,1
Jorma Korhonen,Judo,Judo Men's Lightweight,FIN,1992,No medal,1
Jorma Korhonen,Shooting,Shooting Mixed Skeet,FIN,1992,No medal,1
Jorunn Horgen,Sailing,Sailing Women's Windsurfer,NOR,1992,No medal,1
Jos Aguirregabiria,Basketball,Basketball Men's Basketball,ESP,1992,No medal,12
Jos Alberca,Weightlifting,Weightlifting Men's Bantamweight,ESP,1992,No medal,1
Jos Aperte,Basketball,Basketball Men's Basketball,ESP,1992,No medal,12
Jos Aranda,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Jos Arias,Athletics,"Athletics Men's 10,000 metres",ESP,1992,No medal,1
Jos Bandeira,Fencing,"Fencing Men's epee, Individual",POR,1992,No medal,1
Jos Barbosa,Athletics,Athletics Men's 800 metres,BRA,1992,No medal,1
Jos Bilbao,Hockey,Hockey Men's Hockey,ESP,1992,No medal,16
Jos Caizares,Diving,Diving Men's Springboard,ESP,1992,No medal,1
Jos Casales,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",MEX,1992,No medal,2
Jos Chumilla,Boxing,Boxing Men's Heavyweight,ESP,1992,No medal,1
Jos Cruz,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",MEX,1992,No medal,2
Jos Cruz,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",MEX,1992,No medal,2
Jos Cuesta,Cycling,"Cycling Men's 1,000 metres Time Trial",COL,1992,No medal,1
Jos Cuesta,Cycling,Cycling Men's Points Race,COL,1992,No medal,1
Jos Cuesta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",COL,1992,No medal,4
Jos Dias,Sailing,Sailing Mixed Three Person Keelboat,BRA,1992,No medal,3
Jos Dias,Sailing,Sailing Mixed Three Person Keelboat,BRA,1992,No medal,3
Jos Diez,Baseball,Baseball Men's Baseball,CUB,1992,Gold,1
Jos Enrquez,Modern Pentathlon,Modern Pentathlon Men's Individual,MEX,1992,No medal,1
Jos Enrquez,Modern Pentathlon,Modern Pentathlon Men's Team,MEX,1992,No medal,3
Jos Ferrer,Athletics,Athletics Men's 4 x 100 metres Relay,ESP,1992,No medal,4
Jos Ferrer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",MEX,1992,No medal,2
Jos Ferrer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",MEX,1992,No medal,1
Jos Garca,Archery,Archery Men's Individual,MEX,1992,No medal,1
Jos Garca,Archery,Archery Men's Team,MEX,1992,No medal,3
Jos Garca,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",ESP,1992,No medal,1
Jos Garca,Rowing,Rowing Men's Quadruple Sculls,ESP,1992,No medal,4
Jos Garca,Sailing,Sailing Men's One Person Dinghy,ESP,1992,Gold,1
Jos Garca,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",ESP,1992,No medal,1
Jos Garcia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",POR,1992,No medal,1
Jos Garcia,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",POR,1992,No medal,1
Jos Gmez,Athletics,Athletics Men's Marathon,ESP,1992,No medal,1
Jos Gmez,Rowing,Rowing Men's Coxed Eights,ESP,1992,No medal,9
Jos Gonzlez,Baseball,Baseball Men's Baseball,CUB,1992,Gold,1
Jos Gonzlez,Shooting,Shooting Mixed Skeet,ESP,1992,No medal,1
Jos Grate,Football,Football Men's Football,ESP,1992,Gold,17
Jos Guimares,Basketball,Basketball Men's Basketball,ANG,1992,No medal,12
Jos Guimares,Fencing,"Fencing Men's Foil, Individual",POR,1992,No medal,1
Jos Guzman,Boxing,Boxing Men's Welterweight,VEN,1992,No medal,1
Jos Hierro,Rowing,Rowing Men's Double Sculls,ESP,1992,No medal,2
Jos Iglesias,Fencing,"Fencing Men's Foil, Individual",ESP,1992,No medal,1
Jos Iglesias,Fencing,"Fencing Men's Foil, Team",ESP,1992,No medal,5
Jos Jess,Judo,Judo Men's Lightweight,ANG,1992,No medal,1
Jos Jnior,Rowing,Rowing Men's Coxed Fours,BRA,1992,No medal,5
Jos Junior,Swimming,Swimming Men's 100 metres Butterfly,BRA,1992,No medal,1
Jos Junior,Swimming,Swimming Men's 200 metres Individual Medley,BRA,1992,No medal,1
Jos Junior,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,BRA,1992,No medal,4
Jos Laurenz,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Jos Ledea,Weightlifting,Weightlifting Men's Light-Heavyweight,CUB,1992,No medal,1
Jos Lpez,Cycling,"Cycling Men's Road Race, Individual",COL,1992,No medal,1
Jos Magalhes,Athletics,Athletics Men's 50 kilometres Walk,POR,1992,No medal,1
Jos Martnez,Rowing,Rowing Men's Quadruple Sculls,ESP,1992,No medal,4
Jos Medina,Weightlifting,Weightlifting Men's Lightweight,VEN,1992,No medal,1
Jos Mendes,Athletics,Athletics Men's 4 x 400 metres Relay,POR,1992,No medal,4
Jos Montecillo,Football,Football Men's Football,MEX,1992,No medal,16
Jos Morales,Cycling,Cycling Men's Sprint,ARG,1992,No medal,1
Jos Mossiane,Swimming,Swimming Men's 50 metres Freestyle,MOZ,1992,No medal,1
Jos Mota,Football,Football Men's Football,MEX,1992,No medal,16
Jos Nascimento,Handball,Handball Men's Handball,BRA,1992,No medal,14
Jos Nez,Athletics,"Athletics Men's 5,000 metres",CRC,1992,No medal,1
Jos Ocaa,Weightlifting,Weightlifting Men's Bantamweight,ESP,1992,No medal,1
Jos Oquendo,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Jos Pereira,Rowing,Rowing Men's Coxed Pairs,ESP,1992,No medal,1
Jos Perin,Cycling,"Cycling Men's 1,000 metres Time Trial",ESP,1992,Gold,1
Jos Perin,Cycling,Cycling Men's Sprint,ESP,1992,No medal,1
Jos Pinto,Athletics,Athletics Men's 50 kilometres Walk,POR,1992,No medal,1
Jos Pinto,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Jos Pon,Table Tennis,Table Tennis Men's Doubles,ESP,1992,No medal,2
Jos Pon,Table Tennis,Table Tennis Men's Singles,ESP,1992,No medal,1
Jos Prez,Baseball,Baseball Men's Baseball,CUB,1992,Gold,1
Jos Prez,Rowing,Rowing Men's Coxless Fours,ESP,1992,No medal,4
Jos Puente,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Jos Puig,Weightlifting,Weightlifting Men's Flyweight,ESP,1992,No medal,1
Jos Ramalho J.,Handball,Handball Men's Handball,BRA,1992,No medal,14
Jos Ramos,Athletics,Athletics Men's 800 metres,ESP,1992,No medal,1
Jos Rangel,Athletics,Athletics Men's Marathon,MEX,1992,No medal,1
Jos Ribeiro,Rowing,Rowing Men's Coxed Fours,BRA,1992,No medal,5
Jos Rijos,Basketball,Basketball Men's Basketball,PUR,1992,No medal,12
Jos Rios,Equestrian,"Equestrian Mixed Jumping, Individual",MEX,1992,No medal,1
Jos Rios,Equestrian,"Equestrian Mixed Jumping, Team",MEX,1992,No medal,4
Jos Robledo,Football,Football Men's Football,COL,1992,No medal,19
Jos Rodrguez,Sailing,Sailing Men's One Person Dinghy,PUR,1992,No medal,1
Jos Rosario,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Jos Rosario,Wrestling,"Wrestling Men's Middleweight, Freestyle",PUR,1992,No medal,1
Jos Rubert,Swimming,Swimming Men's 200 metres Butterfly,ESP,1992,No medal,1
Jos Saborio,Canoeing,"Canoeing Men's Kayak Singles, Slalom",CRC,1992,No medal,1
Jos Santana,Baseball,Baseball Men's Baseball,DOM,1992,No medal,1
Jos Sarria,Weightlifting,Weightlifting Men's Featherweight,COL,1992,No medal,1
Jos Silva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",POR,1992,No medal,2
Jos Silva J.,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",POR,1992,No medal,2
Jos Snchez,Athletics,"Athletics Men's 1,500 metres",ESP,1992,No medal,1
Jos Soler,Water Polo,Water Polo Men's Water Polo,CUB,1992,No medal,13
Jos Sospedra,Athletics,Athletics Men's 50 kilometres Walk,ESP,1992,No medal,1
Jos Sotomayor,Cycling,Cycling Men's Points Race,MEX,1992,No medal,1
Jos Suso,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",ARG,1992,No medal,4
Jos Tejada,Fencing,"Fencing Men's Sabre, Individual",ESP,1992,No medal,1
Jos Tejada,Fencing,"Fencing Men's Sabre, Team",ESP,1992,No medal,5
Jos Torras,Shooting,Shooting Mixed Trap,ESP,1992,No medal,1
Jos Torres J.,Football,Football Men's Football,MEX,1992,No medal,16
Jos Tranquillini,Judo,Judo Men's Heavyweight,BRA,1992,No medal,1
Jos Tuliesa,Sailing,Sailing Mixed Multihull,ESP,1992,No medal,1
Jos Urbano,Athletics,Athletics Men's 20 kilometres Walk,POR,1992,No medal,1
Jos Urbano,Athletics,Athletics Men's 50 kilometres Walk,POR,1992,No medal,1
Jos Veras,Baseball,Baseball Men's Baseball,DOM,1992,No medal,1
Jos Vianna,Basketball,Basketball Men's Basketball,BRA,1992,No medal,12
Jos Vieira,Handball,Handball Men's Handball,BRA,1992,No medal,14
Jos Villalba,Fencing,"Fencing Men's Foil, Individual",PAR,1992,No medal,1
Jos Villalba,Fencing,"Fencing Men's epee, Individual",PAR,1992,No medal,1
Jos Zabalegui,Canoeing,"Canoeing Men's Kayak Singles, Slalom",ESP,1992,No medal,1
Jose Jr.,Athletics,Athletics Men's 800 metres,USA,1992,No medal,1
Josef Brendle,Shooting,"Shooting Men's Air Rifle, 10 metres",LIE,1992,No medal,1
Josef Hahnenkamp,Shooting,Shooting Mixed Skeet,AUT,1992,No medal,1
Josef Hladky,Swimming,Swimming Men's 200 metres Individual Medley,GER,1992,No medal,1
Josef Vnsek,Judo,Judo Men's Lightweight,TCH,1992,No medal,1
Josefa Idem-guerrini,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",ITA,1992,No medal,1
Joseildo Silva,Athletics,Athletics Men's Marathon,BRA,1992,No medal,1
Josep Llad,Water Polo,Water Polo Men's Water Polo,ESP,1992,Silver,12
Josep Sala,Football,Football Men's Football,ESP,1992,Gold,17
Joseph Adam,Athletics,Athletics Men's 400 metres,SEY,1992,No medal,1
Joseph Akhasamba,Boxing,Boxing Men's Heavyweight,KEN,1992,No medal,1
Joseph Albert,Volleyball,Volleyball Men's Volleyball,CAN,1992,No medal,12
Joseph Buhain,Swimming,Swimming Men's 100 metres Breaststroke,PHI,1992,No medal,1
Joseph Buhain,Swimming,Swimming Men's 100 metres Butterfly,PHI,1992,No medal,1
Joseph Buhain,Swimming,Swimming Men's 200 metres Individual Medley,PHI,1992,No medal,1
Joseph Buhain,Swimming,Swimming Men's 4 x 100 metres Medley Relay,PHI,1992,No medal,4
Joseph Chesire,Athletics,"Athletics Men's 1,500 metres",KEN,1992,No medal,1
Joseph Chongo,Boxing,Boxing Men's Bantamweight,ZAM,1992,No medal,1
Joseph Gostigian,Modern Pentathlon,Modern Pentathlon Men's Individual,USA,1992,No medal,1
Joseph Gostigian,Modern Pentathlon,Modern Pentathlon Men's Team,USA,1992,No medal,3
Joseph Greene,Athletics,Athletics Men's Long Jump,USA,1992,Bronze,1
Joseph Hudepohl,Swimming,Swimming Men's 200 metres Freestyle,USA,1992,No medal,1
Joseph Hudepohl,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,USA,1992,Gold,6
Joseph Hudepohl,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,USA,1992,Bronze,6
Joseph Jacobi,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",USA,1992,Gold,2
Joseph Laryea,Boxing,Boxing Men's Middleweight,GHA,1992,No medal,1
Joseph Mahmoud,Athletics,"Athletics Men's 3,000 metres Steeplechase",FRA,1992,No medal,1
Joseph Marwa,Boxing,Boxing Men's Light-Middleweight,TAN,1992,No medal,1
Joseph Momanyi,Judo,Judo Men's Half-Lightweight,KEN,1992,No medal,1
Joseph Moore,Football,Football Men's Football,USA,1992,No medal,17
Joseph Ndjumbi,Judo,Judo Men's Half-Heavyweight,GAB,1992,No medal,1
Joseph Wanag,Judo,Judo Men's Middleweight,USA,1992,No medal,1
Josephina Groot,Rowing,Rowing Women's Double Sculls,NED,1992,No medal,2
Josephine Horton,Judo,Judo Women's Half-Heavyweight,GBR,1992,No medal,1
Joshua Ikhaghomi,Swimming,Swimming Women's 100 metres Freestyle,NGR,1992,No medal,1
Joshua Ikhaghomi,Swimming,Swimming Women's 50 metres Freestyle,NGR,1992,No medal,1
Josp Serra,Rowing,Rowing Men's Coxed Eights,ESP,1992,No medal,9
Josu Zabaleta,Rowing,Rowing Men's Coxed Eights,ESP,1992,No medal,9
Jouni Grnman,Weightlifting,Weightlifting Men's Lightweight,FIN,1992,No medal,1
Joy Kitzmiller,Badminton,Badminton Women's Doubles,USA,1992,No medal,2
Joy Kitzmiller,Badminton,Badminton Women's Singles,USA,1992,No medal,1
Joycenara Batista,Basketball,Basketball Women's Basketball,BRA,1992,No medal,12
Jozef Kucej,Athletics,Athletics Men's 400 metres Hurdles,TCH,1992,No medal,1
Jozef Lohya,Wrestling,"Wrestling Men's Middleweight, Freestyle",TCH,1992,No medal,1
Jozef Palatinus,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",TCH,1992,No medal,1
Jozef Turza,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",TCH,1992,No medal,4
Jozeph Lansink,Equestrian,"Equestrian Mixed Jumping, Individual",NED,1992,No medal,1
Jozeph Lansink,Equestrian,"Equestrian Mixed Jumping, Team",NED,1992,Gold,4
Jrg Damme,Shooting,Shooting Mixed Trap,GER,1992,No medal,1
Jrg Dresel,Water Polo,Water Polo Men's Water Polo,GER,1992,No medal,12
Jrg Fricke,Sailing,Sailing Mixed Two Person Keelboat,GER,1992,No medal,1
Jrg Haas,Athletics,Athletics Men's 800 metres,GER,1992,No medal,1
Jrg Hoffmann,Swimming,"Swimming Men's 1,500 metres Freestyle",GER,1992,Bronze,1
Jrg Kempenich,Fencing,"Fencing Men's Sabre, Individual",GER,1992,No medal,1
Jrg Kempenich,Fencing,"Fencing Men's Sabre, Team",GER,1992,No medal,5
Jrg Lindemeier,Swimming,Swimming Men's 100 metres Breaststroke,NAM,1992,No medal,1
Jrg Lindemeier,Swimming,Swimming Men's 200 metres Breaststroke,NAM,1992,No medal,1
Jrg Mnzner,Equestrian,"Equestrian Mixed Jumping, Individual",AUT,1992,No medal,1
Jrg Mnzner,Equestrian,"Equestrian Mixed Jumping, Team",AUT,1992,Silver,4
Jrg Rokopf,Table Tennis,Table Tennis Men's Doubles,GER,1992,Silver,2
Jrg Rokopf,Table Tennis,Table Tennis Men's Singles,GER,1992,No medal,1
Jrg Vaihinger,Athletics,Athletics Men's 4 x 400 metres Relay,GER,1992,No medal,4
Jrgen Bojsen-mller,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,DEN,1992,Bronze,1
Jrgen Herlufsen,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",DEN,1992,No medal,2
Jrgen Koch,Badminton,Badminton Men's Doubles,AUT,1992,No medal,2
Jrgen Koch,Badminton,Badminton Men's Singles,AUT,1992,No medal,1
Jrgen Nolte,Fencing,"Fencing Men's Sabre, Individual",GER,1992,No medal,1
Jrgen Nolte,Fencing,"Fencing Men's Sabre, Team",GER,1992,No medal,5
Jrgen Richter,Diving,Diving Men's Springboard,AUT,1992,No medal,1
Jrgen Scheibe,Wrestling,"Wrestling Men's Bantamweight, Freestyle",GER,1992,No medal,1
Jrgen Schult,Athletics,Athletics Men's Discus Throw,GER,1992,Silver,1
Jri Jaanson,Rowing,Rowing Men's Single Sculls,EST,1992,No medal,1
Jri Tamm,Athletics,Athletics Men's Hammer Throw,EST,1992,No medal,1
Ju Jong-gwan,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",KOR,1992,No medal,2
Ju Jong-gwan,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",KOR,1992,No medal,2
Ju Jong-gwan,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",KOR,1992,No medal,4
Juan Agullo,Baseball,Baseball Men's Baseball,ESP,1992,No medal,1
Juan Alfonso,Baseball,Baseball Men's Baseball,CUB,1992,Gold,1
Juan Ania,Volleyball,Volleyball Men's Volleyball,ESP,1992,No medal,12
Juan Azpitarte,Equestrian,"Equestrian Mixed Dressage, Individual",ESP,1992,No medal,1
Juan Baeza,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",ARG,1992,No medal,2
Juan Baeza,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",ARG,1992,No medal,4
